water_depth_m,u_mid_m,Ky_N_per_m,Ky_kN_per_m
160.3,-44.5,1112499.148,1112.499148
160.3,-43.5,1121124.869,1121.124869
160.3,-42.5,1129991.713,1129.991713
160.3,-41.5,1139108.569,1139.108569
160.3,-40.5,1148484.427,1148.484427
160.3,-39.5,1158128.292,1158.128292
160.3,-38.5,1168049.083,1168.049083
160.3,-37.5,1178255.495,1178.255495
160.3,-36.5,1188755.821,1188.755821
160.3,-35.5,1199557.732,1199.557732
160.3,-34.5,1210667.978,1210.667978
160.3,-33.5,1222092.926,1222.092926
160.3,-32.5,1233832.697,1233.832697
160.3,-31.5,1245894.048,1245.894048
160.3,-30.5,1258271.598,1258.271598
160.3,-29.5,1270960.461,1270.960461
160.3,-28.5,1283949.464,1283.949464
160.3,-27.5,1297220.571,1297.220571
160.3,-26.5,1310746.963,1310.746963
160.3,-25.5,1324490.398,1324.490398
160.3,-24.5,1338398.184,1338.398184
160.3,-23.5,1352399.228,1352.399228
160.3,-22.5,1366399.116,1366.399116
160.3,-21.5,1380274.296,1380.274296
160.3,-20.5,1393864.877,1393.864877
160.3,-19.5,1406966.37,1406.96637
160.3,-18.5,1419320.404,1419.320404
160.3,-17.5,1430604.935,1430.604935
160.3,-16.5,1440425.058,1440.425058
160.3,-15.5,1448306.358,1448.306358
160.3,-14.5,1453693.984,1453.693984
160.3,-13.5,1455962.257,1455.962257
160.3,-12.5,1454441.101,1454.441101
160.3,-11.5,1448467.106,1448.467106
160.3,-10.5,1437465.535,1437.465535
