water_depth_m,u_mid_m,Kz_N_per_m,Kz_kN_per_m
160.2,-7.5,83328.60994097797,83.32860994097797
160.2,-6.5,83553.94900167963,83.55394900167963
160.2,-5.5,83763.89396463825,83.76389396463824
160.2,-4.5,83958.67871104983,83.95867871104983
160.2,-3.5,84138.55374200661,84.13855374200661
160.2,-2.5,84303.78503878863,84.30378503878863
160.2,-1.5,84454.6528891293,84.45465288912929
160.2,-0.5,84591.4506895891,84.5914506895891
160.2,0.5,84714.48373151281,84.71448373151281
160.2,1.5,84824.06798062305,84.82406798062304
160.2,2.5,84920.52885773461,84.92052885773461
160.2,3.5,85004.20002906147,85.00420002906147
160.2,4.5,85075.42221238924,85.07542221238924
160.2,5.5,85134.54200775626,85.13454200775627
160.2,6.5,85181.9107560552,85.18191075605519
160.2,7.5,85217.88343327121,85.21788343327121
160.2,8.5,85242.81758495269,85.24281758495269
160.2,9.5,85257.07230291351,85.25707230291351
160.3,-24.5,76977.65965083311,76.97765965083312
160.3,-23.5,77479.86697388571,77.47986697388572
160.3,-22.5,77966.03517609686,77.96603517609687
160.3,-21.5,78436.01490544852,78.43601490544852
160.3,-20.5,78889.67989241116,78.88967989241117
160.3,-19.5,79326.92746500472,79.32692746500472
160.3,-18.5,79747.6789436204,79.7476789436204
160.3,-17.5,80151.87991559919,80.15187991559918
160.3,-16.5,80539.50038874862,80.53950038874862
160.3,-15.5,80910.53482312584,80.91053482312584
160.3,-14.5,81265.00204063013,81.26500204063014
160.3,-13.5,81602.94501600464,81.60294501600464
160.3,-12.5,81924.43055012882,81.92443055012882
160.3,-11.5,82229.54883149905,82.22954883149905
160.3,-10.5,82518.41288939054,82.51841288939055
160.3,-9.5,82791.15794564904,82.79115794564905
160.3,-8.5,83047.94067169019,83.04794067169018
160.3,-7.5,83288.93835767667,83.28893835767667
160.3,-6.5,83514.34800307237,83.51434800307237
160.3,-5.5,83724.3853357708,83.7243853357708
160.3,-4.5,83919.28377036742,83.91928377036741
160.3,-3.5,84099.29331360133,84.09929331360134
160.3,-2.5,84264.67942669494,84.26467942669494
160.3,-1.5,84415.72185372592,84.41572185372591
160.3,-0.5,84552.71342614868,84.55271342614869
160.3,0.5,84675.95885092561,84.67595885092561
160.3,1.5,84785.77349230579,84.7857734923058
160.3,2.5,84882.48215472036,84.88248215472036
160.3,3.5,84966.41787525263,84.96641787525263
160.3,4.5,85037.92073194441,85.03792073194441
160.3,5.5,85097.33667656615,85.09733667656614
160.3,6.5,85145.01639525767,85.14501639525767
160.3,7.5,85181.31420474127,85.18131420474127
160.3,8.5,85206.58698869408,85.20658698869408
160.3,9.5,85221.19317627822,85.22119317627822
160.4,-24.5,76940.40543394521,76.94040543394522
160.4,-23.5,77442.27607886512,77.44227607886512
160.4,-22.5,77928.13168128661,77.92813168128662
160.4,-21.5,78397.8230798314,78.3978230798314
160.4,-20.5,78851.22415547159,78.85122415547158
160.4,-19.5,79288.23234574853,79.28823234574853
160.4,-18.5,79708.76903896358,79.70876903896358
160.4,-17.5,80112.77984833586,80.11277984833586
160.4,-16.5,80500.23476531159,80.50023476531159
160.4,-15.5,80871.1281913521,80.8711281913521
160.4,-14.5,81225.47884774604,81.22547884774603
160.4,-13.5,81563.32956703819,81.5633295670382
